Body,Sentiment
"cant pay my bill or see my bill on this app, says check back in a few minutes. been months and no one knows how to fix it. poor service and lack of knowledge",negative
keeps signing out. cant find buttons i need,negative
Repeatedly have trouble maneuvering around this site IF I can sign in.My experience with ATT has been a constant source of frustration,negative
"just switched to att from spectrum, was told i cud get a earlier install appt.then was told to download this app to get earliest appt. cant even sign in, keep getting code...",negative
slow and undependable,negative
atat's app is almost as bad as DirecTV's which is horrible.,negative
very buggy and doesn't work. tooo slow to load some screens.,negative
bad,negative
glitching especially on dvr 3 x and not fixed,negative
doesn't work,negative
every time i come to sign in it asks for my password and when i use forgot password it tells me it can't find me. when i use password it says wrong. PLEASE FIX IT!!,negative
This app sucks! I can't even pay my bill because when I try to sign it it says there is a problem and tells me to try again later. Well this is day 8 and about the 5th time this has happened. Fix your app if you want people to pay their bills on time!!!!!,negative
"The last update ""S U C K S"" ! flat screen (was a nice blue) , noware to navgate. (no plans, items etc.) bouncing me out at payment, defaulting my account 😢👎",negative
It took me 20 minutes to reset my password my ID and my password for my AT&T of count that was supposed to be connected to my DirecTV bill pay. After finally getting it set and trying to access it I'm only offered to manage my U verse wireless and what else some 3rd thing that not DirecTV.,negative
mmhm,positive
very slow,negative
Suddenly gives errors. Cant sign in anymore even when i change the passsword. It returns an error i cant read.,negative
makes me change my password all the damm time. doesnt remember. and when I reset password it tells me I can't use my former password. pisses me off!,negative
everytime i try to log in it keeps making me send a code to my phone so when i keep tapping the send code option it won't send,negative
it wont allow me to sign out,negative
Can rarely get app to open due to poor internet service by AT&T. When I can open it it always wants me to link accounts which I've already done! All I want to do is pay my bill! Not go thru the same garbage every time I get this stupid app opened! Linking accounts should be an optional thing the customer is actually looking to do instead of the road block it is! Please! Just let me pay my bill since you charge to pay by phone and I did as I was asked and downloaded your app!,negative
"constantly drains the battery and takes forever to load. have it on six total devices and the latest update has the same results on all six, even a brand new S10 e. slow to load slow to run constantly getting errors if there's a technical issue. Currently not worth any users time",negative
no sirven,negative
m ??!,negative
"can never sign in with user ID and password! I even tried changing them ...twice! Now I am on too many requests and will be cut off from trying. will have to call on Monday. malware from LinkedIn profile account. I'm beginning told to register my accnt. I've been getting billed and pay every year though,,,no problem there",negative
ryj,negative
Slow as a turtle to load pages or get anything accomplished. This app is no where near the standard it should be for such a well known company.,negative
This app has not been working for months now all it says is system error. I would like to know what my data usage is and I'm not able to do so. Please fix this AT&T.,negative
it's renewal day and my new data usage has not updated in a useful way.,negative
would not even download for me!,negative
"I can never log in. I change my password per there instructions and it errors out telling me to ""try again in a few minutes"". But again, it never works. For such a big company they sure do make it difficult to pay my bill.",negative
the app hangs up too often,negative
"marginal in all respects - design, response, service coverage. Hidden fees, too expensive",negative
app always experiences problems so you end up having to call anyway to fix a crappy service to begin with.,negative
y?,positive
"приложение не работает, невозможно зайти в свой аккаунт.",negative
"Not working on honor 10, support doesn't know how to solve the issue",negative
muy lenta,negative
not sure if its just prepaid customers but i cant login to use billing preferences etc. someone from IT needs to fix this.,negative
"This app has not let me sign in in months. I've updated it and uninstalled and reinstalled. It asks me to send a code, when I press the button nothing happens and no code is ever sent to my phone. If I want to do anything I have to login through the website.",negative
Seems convenient. The problem I have is with overcharging. I am paying more because I chose to stay with this company which I switched to because the man convinced me would have lower payments. I lost my phone so I bought the same kind now their making me pay more on my bill for staying with at&t?,negative
"there is nothing there to help me, I know how much I owe...how to reset modem?",negative
"I was promised a lower price. lied to, too many times. I will be switching mine and my entire family's plans ASAP.",negative
"really klugy app, and the widget rarely works",negative
Cannot. sign into my Account..,negative
"Havent been able to access my account for months now. Had to settle for buying phone cards in separate purchases at stores now Customer for years now, getting fed up. Giannis loves T-Mobile, and I love Giannis, so why not switch? Change my mind, AT&T.",negative
couldn't register my account,negative
iiiiiits horrible,negative
No option to report outages. My Internet not working...and happens A Lot!!,negative
had to give it a 1star so that I could say it is the most confusing app I've ever seen,negative
Worst experience ever.,negative
comstantly verifying by text. text wont send.,negative
app is clunky and barely functional at all. you'd think a global conglomerate like AT&T would be able to develop a functioning app.,negative
I keep having to removing the app and then reinstalling it in order to access my account. this happens at least three times a week.,negative
The app will not let me log-in. Apparently AT&T is not able to manage basic function of their product.,negative
Freezes my phone. It just keeps loading. It's pointless.,negative
terrible,negative
it's the worst app. download only if you want your device to freeze up. AT&T sucks. Go to Verizon,negative
won't let me view any of my notifications. keeps saying no Internet every link I click,negative
no deja entrar,negative
Slow and constantly buffers,negative
im done with them... poor connection n over all bad service!!,negative
much like everything else with this company... it f*xk#ng suks,negative
"simply unreliable. only thing it does right is accept money when it's time to pay a bill. won't even let me update information like address, email, etc. really disappointed. disable and force close for life",negative
hate having to remember past word everytime I need to check my account,negative
Record Breaking App! Very well could be the world's slowest app. Good job,negative
pIs,negative
"I can't get to who's I've called, and by the way don't send anymore of your people to my house to tell me lies about U VERSE, your boy said last year that we could have tv and internet for the same price for two more years, and he would let us know before it ran out, same thing with my mother thats on a fixed income. I'm not happy with how you all have treated us and certainly not happy about how my mother has been done. The bible says that you pay for you sins, shame on you all.",negative
well I definitely have an att phone and number but I can't make an account so um ya ...thank for ummmm nothing,positive
cannot log in...,negative
"The app was working, but it doesn""t no more.",negative
"most of the time, when trying to access features like internet plan change, it shows the touch but never goes to the feature. also hate that i can't change my DirecTV plan. I don't see what the point is in having the option to choose that when it just tells you to call to make changes. Waste of time.",negative
Lately this app as been horrible. 90% of the time I can't log in. I can't even pay the bill at the moment.,negative
it won't let you do anything in the app,negative
Terrible. Never works. Worthless.,negative
"this app is pretty horrible on a Galaxy s10+. lt is not very intuitive for the user, it loads slow and freezes up a lot.",negative
There's no way i can manage the home phone features.,negative
"The app always loads slowly. Never allows me to use wifi because it has a ""bad connection"" and forces me to use data. 90% of the time it cannot find my user id and has some error accessing the system. This always happens the week my payment is due. App works great the rest of the month. Maybe att should invest in the tech group that runs this app.",negative
"second month in row myAT&T app not working properly, won't allow me to access my acct.",negative
This app sucks.I can't even login to my account to pay.Error all the dang time!!!Fix it!Sick of having to call and refill and deal with this!!!!,negative
poor,negative
I have att and direct tv all I want to do is use my email address for the 2 accounts as my login ID and 2 different passwords. I keep getting a message they can't find my user ID with the right pw,negative
"So slow! What kind of database server is behind this app? Does anyone do any optimization on it, or you just let the queries run as long as they feel like? This should be embarrassing for an entire team of software developers.",negative
"Useful, but slow. Most recent updates have made even clunkier and slower.",negative
the app is really slow even with full service/wifi.,negative
like most at&t apps useless,negative
useless,negative
no me resuelve,negative
no funciona,negative
always has a problem. can't do anything.,negative
Keeps telling me that something happened at ATT's end and won't open.,negative
got a new phone can't access my account email is now defaulted to my husband's email. he passed away 7 yrs ago so it's no longer a thing. I need help so I can pay my bill,negative
Not very functional or user friendly.,negative
"I experience glitches when tapping on links within the app itself , I get put in this loop where I sign in to my account within the app and are back on the homepage. also experience force closing when I use the app for more then 3 minutes",negative
impossible to sign in does not work,negative
it's the slowest loading app on my phone and I have a Samsung S10+. I would think the service provider would have faster capabilities.,negative
"apparently I'm being forced to link different accounts and use different login methods. when the app first came out it was handy, now it has become a hassle to use. Myself and my wife have had no issues in the past, except the stupid password changes, but now you want to change how we log in, or we apparently cant go further into the app than the login page. stick this app up an orifice. I'm done using it.",negative
I can not change my password or watch television on my app. this company ATT is getting worse everyday,negative
"can not even use my AT&T app and i pay on time every month, but since i got on my lady friends plan it makes her the account owner. Clearly you know i have my own phone and my own number then the account owner, why all the restrictions? How could i give a star when you won't allow me on myAT&T to see how nice it is?",negative
these people are ripping everyone off. I payed for the unlimited plan and now they want more money for hotspot never had before DONT USE THEM THAY change the price at no notice was happy till this so check it out and let them know how you feel about it and give them your thoughts. let's fix the the problem with att upcharge at no notices. this is not good business to change a plan at no notice 😒😡. 1 star give less if could,negative
just to open for my taste,negative
after 2 months trying still cant sign on horrible.,negative
it always crash and slow as f$^@^@,negative
every time I try to log on to view my account I have to change my password. I know I am entering in the password correctly it's getting annoying having to change my password anytime I want to look at my account.,negative
butthole app,positive
It sucks!!!!!!,negative
This is the slowest app I have ever used. Page loading is horrible!!,negative
Z the,positive
App asks for login info then tells me I can't use AAT services because they aren't set up for it. isn't this an ATT app?,negative
My Bill is never correct! I have to deal with this every month! They are all liars! Terrible!,negative
it keeps asking my password and i have reset it 3 time's now,negative
"when its time to pay bill this app take me to a level to change password n ones I change password it's take me to page where submit code but that I never receive, I feel It just push customers to due date so that company can make late fee charges.",negative
"the app does not work half the time, takes too long to log in or won't log on at all",negative
This is the worst App! It is always so slow and never wants to let me log in! I just want to pay my bill and you would think that AT&T would make sure this app worked well so they could get paid.,negative
app sucks all it does is error,negative
"Can't log in, too complicated, If you call you cant understand the person and they suggest you use the app that doesn't work.",negative
Slow slow slow,negative
"was working great, but they screwed it up",negative
"The app is slow to get my plan info. Actually, it never did retrieve it.",negative
cant sighn in to pay the bill ..I also have it set up for fingerprint and it changed by itself to add a password everytime.frustrating,negative
app is very slow not helpful at all,negative
you send me a text with a 8 digit code number to enter but I can only enter 6 digits. Hmm...,negative
This app take too long to load. I've sat for two minutes straight waiting for it to open my account. You would think AT&T would have an App that doesn't take that long to open.,negative
can't login - app spins and doesn't load pages,negative
The menus are difficult to navigate.,negative
This app is pretty frustrating! it just spins and spins and spins stating one moment please. I've been waiting for hours now to access payment screen smh...,negative
"horrible since update!!! never takes my password, have to reset it everytime, so aggrivating..., come on att you can do better",negative
I am finding this app to be very confusing. FRUSTRATED every time I try to use it to check my account. YIKES!,negative
won't let me delete notices or alerts and that's pretty annoying to continuously get the same notifications over and over.,negative
"This app is utter garbage. All their automated phone prompts guide you to this app, to help solve your issues. Only one problem... It NEVER works! The only thing it succeeds with is tempting me to throw my freaking phone through the wall! The app is just as bad as their phone customer support. I don't know why I'm surprised...",negative
"Doesn't work for pre-paid. AND When I had to leave the unlimited family plan ( which was super fast great service, direct TV was great ) and go to pre-paid plan. Oh My it's like two different companies. terrible phone service, and data service oops what data, what data service, yes I'm on 16 Gigabyte plan but where's the data, give to you and take from you same day. if you have any data to use, get ready for snail speed. 2nd month now, won't be a 3rd. Nobody seems to wanna help either....",negative
to hard it should say email and then password.,negative
"horrible loops for forgetful seniors or never sending you to right account. Hi, spent over half hour trying to log in.",negative
glitchy doesnt work most of the time,negative
Horrible,negative
"Downright atrocious customer service, my number is suspended and now when I try to use the app it asks to send a code to my number for verification........ what kind of system are you running? cant wait to change to another service.",negative
Always knocks me offline,positive
limited abilities and prepaid is not available on app,negative
each time I go on thiscappmy pass word doescmot work. have to put new password each time by saying I forgot my password.,negative
i can only see direct tv and not my internet.,negative
"the app doesn't always work and is difficult to navigate, it's difficult to find exactly what you want, you're better off making a phone call to support, I also can't connect to live chat on the app the page comes up but won't connect...",negative
terrible! download pending. im not surprised because its at&t. nothing is good with at&t.,negative
"Probably THE shittiest app on the play store. honestly, nothing works, nothing loads and to oay monthly for a service and this is all you get is just rediculous.",negative
sucks don't work,negative
"it could be easier to understand the difference between att and direct tv. i did not change my accout info. both were on auto pay, however when the merge was completed, they deactivated my auto pay without notice.",negative
repeatedly fails to log in,negative
And I thought the US government was bad. How stupid is it that you log in with your biometrics just so you can log on again using a password? App doesn't let you make changes. online access just as bad. Calling in is even worse.,negative
"while it can be convenient, it is mostly annoying due to the amount of time it takes to load between screens. the upgrade option within the app has never worked always gives an error and say's to contact at&t for further assistance(if this is not possible from the app why is it even here as an option?). It can be a little confusing at first with all the different option. I believe and know it can be more user friendly but as it stands right at this moment it does not earn more than a 2 🌟 imo.",negative
the app never wants to work properly in order to use very unhelpful,negative
"this att app is absolutely atrocious! I have to wait too long to get where I want to go, IF I ever get there in the first place!! why can't this app work better?",negative
this app will not allow me to log into my account,negative
always gives an error.,negative
"will not allow me to sign in to app. ""sign in"" button is grayed out and unable to click on it to sign in. everything else works. hopefully this is fixed before tomorrow so I can pay my bills. time!!",negative
app is good...when it works 🤔,positive
"As a new cutomer, I tried to sign in, but AT&T assumed I already had an Acct set up. I had to create a new Acct with the same User ID & Password they denied me to enter because they couldn't find my Acct. They didn't let me sign in as a new customer. I finally got Online by, as I said, Creating a New Acct. I tried to pay & AT&T never asked me for my banking information. Finally I found entry to do that, but a blue screen blocked me from putting in Bank Infomation!! Now What?",negative
keep up with my massage on phone thank you,positive
lost my phone so i cant receive the reset password.,negative
tiburcio zarate jr,positive
this app sucks I can't sign in...,negative
POS,negative
"terrible oh, you try to go on and get some information regarding an outage and it just keeps going over and over and over the same thing and never allows you to find out about your outage so I just uninstalled",negative
my bill payment information for the history and current july is wrong. so if its not showing current info of my account the app is useless.,negative
your security is irresponsible Gerald Brown has hacking my system for months like if he owns my acct and stold my identity,negative
I can't record my shows and I can't do anything on the account,negative
If I could give a negative 10 rating I would. Seems a company as big as AT&T would have theit shi# together and have their own app working instead of giving you the run around. At least their app matches their employees...WORTHLESS!!!!!!!!!!,negative
having a very hard time paying my bill. You don't have my bank in your list. Tried to put it in but would not take it.,negative
horrible experience,negative
I have not been able to use app in 2 months made me late last month showing I had no payment due when it was really past due and now this month says same thing when they told me it would be showing my next statement by the 15th . At&t another way they s@$k,negative
"I had nowhere to sign In Password! took me to ""forgot"" password. Nuts!",negative
update dont stop it just keep downloading over and over again,negative
I could not find anywhere which said to pay bill.,negative
it's more and more difficult to find and use what we need. getting good customer service is difficult to. at & t is going down hill,negative
"Need to add ZERO stars option. What's with the ""experiencing difficulties""; ""system error""; ""unable to log in at this time""; ""please try again later"" ... so try later, and later, and over and over ... and DAYS 'later' STILL--difficulties, errors, inabilities... WHAT?! Seriously.?",negative
cannot log in,negative
hard to get what I need. never found the information I needed. I am overall disappointed in process of using this app.,negative
can never pull it up,negative
takes forever to load and crashes all the time,negative
No longer can access my account,negative
times out trying to sign in.,negative
never loads,negative
horrible,negative
"app sucks!!!!!!!! when you click to make a payment it says ""we're almost there...and then it just sits there and spins non-stop!!! horrible app...please fix!!! uninstalled and reinstalled...still sucks!!!!!",negative
I have been unable to access my account for a month. Every time I try it tells me that there is a server error.,negative
atnt sucks,negative
numbers called and texted never update,negative
if I could give 0 stars I would. Slowest app I've ever seen.,negative
"this app is extremely slow, when it works. i only use it for scheduling my bill payment. if i could do this a different way, i would. i'm very tempted to go back to a paper bill.",negative
Glitchy,negative
muy lenta,negative
"its very irritating when im being told you have no record of my user name and\or that my pswd is not a match when i know from my notes at the att pos where i made the purchase, my info was and is correct ! I know its good: I spent considerable time prior to the execution phase thiinking out details; it was a waste of valuable time if your software makes it necessary for me to do it all again. The over lain menus are very confusing and get rid of the thank you emails, they get in the way..??",negative
i seem to get more confused everytime I try and use this app and get even more mixed up when I actually speak to their kind but also confused agents.I'll edit my review if improvements become visible. Thank y'all.,negative
My account will load but it does not let me process payments. I always have to pay fees.,negative
I've tried to view my bill and all it dose now is show me my account number and that's all ready to drop att,negative
pain in the butt to navigate.,negative
glitchy and often down,negative
Useless! Horribly slow. I could walk to the store faster than this thing loads. Finally got a chat session started and them the keyboard wouldnt work. Total waste of my time.,negative
Doesn't work,negative
"For a giant communications conglomerate, AT&T's app is extremely difficult to navigate and use. The automated phone tree is horrible as well.",negative
"Disappointed that after 2 weeks of negotiations, AT&T has not resolved issues with Nexstar. Am considering switching providers.",negative
ATT is the company for calls,negative
Nothing works,negative
"Nothing works, stuck in loading screens",negative
"The app icon won't load on any of my pages, and the app doesn't show in my app manager list, Play Store's 'installed apps' list, etc. Tried to reinstall app, no luck. I have to go to Play Store, find the app, which shows that it's installed, and then open it from there. Fortunately I don't need to use it often. Once I'm logged in, the app seems to function ok, and has been a useful tool so far.",negative
this app never let's you log in. I merged my direct TV account and I cant log into that either.,negative
Tech support is absymal.,negative
all of a sudden this app doesn't recognize my sign in.,negative
"hate app, hard to maneuver through",negative
"Constantly erroring out. Slow load times and more often than not, failures to connect to the website.",negative
cannot get the login and password to work! very frustrating!! just went through this a few days ago. being instructed to use it again to change email password and can't get in 😠,negative
slow,negative
My phone broke so i tryed switching to a new phone. switched my plan by mistake and at&t took my 25 days left of service i already paid for. They Stole $45 from me. Straight Talk is way Better for prepaid,negative
app is easy to hack and reconfigure from outside over air software,positive
if i could give a negative i would. i hate this stupid App. i hate everything about AT&T and everything it stands for. AT&T is absolutely the worse internet and phone service ever.,negative
the app sucks,negative
Will not change my password. Just KEEPS LOOOAADDDING ! I was TRYING to make a payment !,negative
can't access my account over a period of WEEKS. Payment... now past due.,negative
i have fought this ap for 30 min and still cant access my acct. i have changed the password as suggested and i was sent another lets make sure you are you and it wont let me in. i have put in the sent temp password and reset it over and it still wont let me in. i hate at&t.,negative
terrible,negative
I uave to create a new ID every time I visit the sight then It will not allow me to pay my direct TV bill,negative
I cant never pay my bill on line because it always pull up my old account...even tho they have different a accounts,negative
sucks not easy to use keeps asking 4 dumb questions,negative
it's a good app but the whole sign up process is fairly confusing. Even beyond the App I legit thought someone was trying to scam me and I accidentally cancelled my account.,negative
this app blows dog chunk's. if i could give no stars that's what it would be. every time I try to log in it doesn't recognize me. your doing a crappy job. get your head out of your ass or im changing companies.,negative
$50 for 8gb of nothing.. High speed? more like NO SPEED. i knew i shouldve spent my money on something else.,negative
not bad,positive
"Latest update is JUNK. I synced my account, but NONE of my billing or payment info is there. I keep getting an error message stating ""THERE WAS A PROBLEM WITH OUR SYSTEM. PLEASE TRY AGAIN LATER."" I have been getting the same messsge for THREE STRAIGHT DAYS. I can't pay my bill through the app, and that doesn't seem likely to change anytime soon. STRAIGHT GARBAGE.",negative
No matter how many times I change my password I CAN NOT sign into my account!! Also my internet conection keeps getting turned off for hrs!! I just paid my bill yesterday evening and its been off over 10hrs at least!! I'm paying for service i'm NOT getting. These problems need to be fixed!! My name is Stacy Shepherd NOT Roddy Bacon.,negative
half of the time this app doesn't work! Very frustrating when your trying to pay a bill that is already over priced but you can't because the app won't open. PLEASE FIX THIS PROBLEM,negative
"very irritating. every time I try to view my bill, it keeps asking for my password and sends a verification code and then just takes me back to the last screen.",negative
super slow. always keeps me waiting.,negative
It's the wrong account number and I don't seem to be able to correct it to be able to pay my bill,negative
"Piece of garbage app. NEVER works, I click on new offers that I want to accept & the screen freezes & ENDLESSLY shows how many seconds ago that it updated ?!?! USELESS app & can't believe your techs don't fix this as it's been that way for MONTHS.",negative
How do you create an account app that doesn't allow access to your account. Password system does not work. I even tried changing the password when prompted to by the app. It sent me an email saying my password was changed but still kept giving me the incorrect password box. Horrible failure.,negative
hard to navigate,negative
trouble connecting to multiple accounts,negative
havent been able to sign in for a month with the app. keeps saying there is a problem and to try back in a few minutes,negative
eh,negative
"it wont let me open app with fingerprint, wants me to sign in. but wont bring up typing screen",negative
not user friendly,negative
jetqysdwuUn très gros match pour nos filles face aux hangroises malgré la défaite nos filles td.ont sorti une défense semblable à l’école de l’Est. Nous pouvons être fier de cette belle équipe. Morteau plus Forts Ensemble🤾🏼‍♀️✌️,positive
junk. can't login. sending possible malware and not accepting my password. virus scan,negative
saying update required but not allowing me to download,negative
"I am unable to access my account through this app. I am unsure whether this is a failure of the app or poor SERVICE from ATT. I believe that it is poor service from ATT as their prepaid web service is also of little use. The app does advise you to call 611, which does work. I reccommend you register 611 in your contact list and forget about this crappy app. I expected more from a tech company. Shame on you ATT.",negative
more times than not I get a system error when trying to log on my account,negative
won't let me log in from app setting,negative
I have problems with my data monthly and at&t will not do anything about it...I have switched phones 3 times over it and I have bought a $65 card and still run out of data,negative
still can't make a payment! Keeps asking for password over and over. Waste of space on my phone,negative
"TERRIBLE!!! Has not worked properly since AT&T and DIRECTV merged accounts...would NOT recommend to ANYONE. Would rate a ""ZERO"" star if I could!!!",negative
sux sux sux runs u round n round til ya smash something,negative
wont let me sign in,negative
"Absolutely unreliable. Lots of times, I'll load the app and my data usage just disappears from the overview. I clear cache, data, and even disable/enable the app. Sometimes it fixes it, sometimes it doesn't. This app has always been clunky, but these past few months it's been worthless to me for this reason.",negative
terrible,negative
App says my account is suspended. My account is quoting fine.,negative
"This app NEVER WORKS to pay my bill &, CONSTANTLY makes my payments late. I hate it.",negative
every time I try to manage my account nothing works,negative
app isn't even working,negative
can't sign in. i touch sign in and doesn't do anything,negative
cant download,negative
"nothing works on this app, I have an account and everything, keeps saying my account dont exist when I just made it. when I go to make a new one it exists all of a sudden.",negative
"most actions are not working, cant view my bill, please update and fix all the bugs!",negative
"bad,slow you did not improve. just worse",negative
Takes wayyyyy to long to load any of the account info,negative
does not remember the password you put in and will not store it .,negative
"slow, clunky, does not always work",negative
why can't I pay my bill through the app anymore!?!?!? so frustrating. just take my money already.,negative
not work on non att phone,negative
can't make heads or tails out of your billing don't understand why every month the bill is different.,negative
sucks,negative
The app intermittently works. When it does it is useful for checking usage and billing but lately it has not been up to date according to the web page.,negative
was not even able to set up an account. keeps saying my password cannot be the same as my username. tried a password which did not have any letters used in my username. still receiving the same error.,negative
"always tells me error, try again later",negative
"The app is a joke, it takes forever to load and never works properly. I will be uninstalling!!!!",negative
cant log in for months,negative
comumicadora,positive
como me gustaria que funcionara esta aplicasion aka pagara pero no sirve para nada creo que me voy a cambiar a T mobil mejr,negative
muy mala,negative
this app sucks,negative
Doesn't work has never worked.,negative
if i have my fingerprint to log on then i shloudnt be asked 2 times to verify myself,negative
"wont allow me to log in get a ""bad request"" everytime i try to have it text me a verification code",negative
horrible everything!!,negative
It is not working anymore. Thank You,negative
Never works correctly,negative
terrible,negative
atnt has been nothing but problems.,negative
your app is garbage,negative
"Not a fan of this one. If I try to navigate away from the home page, I get a ""Bad Request"" error everytime.",negative
never works and it takes forever to actually load my bill in full. I constantly have to exit the app and get back into it.,negative
I sign in for UVerse and I get redirected to mobile. Very frustrating. Every encounter with AT&T APP or customer service is an hour+ investment of my time. Annoying!,negative
I still have the issues that were supposedly fixed. This app still sucks !,negative
not working.,negative
I can't use it to pay my bill anymore. it just stays in the 'wait a moment' screen. I even set it aside and waited for 20minutes. it just doesnt work anymore.,negative
Extremely limited for anything but paying bill online.,negative
"att app sucks!!!! it takes forever to come up,at least 30 minutes sometimes 1 hr and on some occasions it doesn't open. for a fortune 500 company it is very disappointing!!!!!!",negative
"this app its useless when you need to make a payment in the last day to renew your plan, always the system don't let you go",negative
"for a communication company its probably the worst site, app i have ever use. time in site spent watching meatball go round indicating its trying to load what was selected.",negative
can not pay bill on it anymore. will not show my data usage. a worthless app,negative
"Fatal, casi nunca puedo usarla.",negative
"LA CALIFICACIÓN ES DE CEROOOOOOOOOOOO. TREMENDA PORQUERÍA. Cuando inicias sesión siempre dice: ""error en el sistema"". No permite ver la cuenta y por consiguiente no puedes hacer ningún pago.",negative
Everytime I sign in it says my password is wrong. I reset it and it still says its wrong. This is annoying. I can never check anything unless I go to the store. Horrible!!!!,negative
"Last two months, I've gotten on the app, and it says it isn't working, and to try later. Last month, I had to change my password, and this month, I couldn't pay my bill on time, because the app wouldn't work, had to go into a store the next day to make my payment. I'd better not get a late fee because of a glitchy app. still doesn't work...been about 4 days now.",negative
Bad does not work for prepaid,negative
it sucks,negative
"cant access my account ,also would like to have all accounts on one bill .not two or three .all from att why cant you combine bills for ease of paying?",negative
nice when it works but it crashes a lot.,negative
I have to log in and out a few times before it shows ALL my options.,negative
"glitches all the time, unable to show info in data usage. good for paying your bill, but that's about it",negative
your wireless service sucks. phone says 5G runs like 2G.,negative
